+--------------------------------------------------------------------------------------------------------------------------------------------------+
| key                                                                | types                                 | occurrences | percents              |
| nutriments.carbohydrates_100g                                      | Number (252),String (76)              |         328 |   8.19590204897551189 |
| nutriments.carbohydrates_serving                                   | Number (160),String (168)             |         328 |   8.19590204897551189 |
| nutriments.carbohydrates_unit                                      | String                                |         328 |   8.19590204897551189 |
| nutriments.carbohydrates_value                                     | String                                |         328 |   8.19590204897551189 |
| nutriments.fat                                                     | Number (239),String (88)              |         327 |   8.17091454272863515 |
| nutriments.fat_100g                                                | Number (237),String (90)              |         327 |   8.17091454272863515 |
| nutriments.fat_serving                                             | Number (160),String (167)             |         327 |   8.17091454272863515 |
| nutriments.fat_unit                                                | String                                |         327 |   8.17091454272863515 |
| nutriments.fat_value                                               | String                                |         327 |   8.17091454272863515 |
| nutriments.proteins                                                | Number (262),String (64)              |         326 |   8.14592703648175842 |
| nutriments.proteins_100g                                           | Number (256),String (70)              |         326 |   8.14592703648175842 |
| nutriments.proteins_serving                                        | Number (166),String (160)             |         326 |   8.14592703648175842 |
| nutriments.proteins_unit                                           | String                                |         326 |   8.14592703648175842 |
| nutriments.proteins_value                                          | String                                |         326 |   8.14592703648175842 |
| nutriments.salt                                                    | Number (294),String (31)              |         325 |   8.12093953023488169 |
| nutriments.salt_100g                                               | Number (287),String (38)              |         325 |   8.12093953023488169 |
| nutriments.salt_serving                                            | Number (170),String (155)             |         325 |   8.12093953023488169 |
| nutriments.sodium                                                  | Number (310),String (15)              |         325 |   8.12093953023488169 |
| nutriments.sodium_100g                                             | Number (298),String (27)              |         325 |   8.12093953023488169 |
| nutriments.sodium_serving                                          | Number (174),String (151)             |         325 |   8.12093953023488169 |
| nutriments.sugars                                                  | Number (252),String (73)              |         325 |   8.12093953023488169 |
| nutriments.sugars_100g                                             | Number (249),String (76)              |         325 |   8.12093953023488169 |
| nutriments.sugars_serving                                          | Number (162),String (163)             |         325 |   8.12093953023488169 |
| nutriments.sugars_unit                                             | String                                |         325 |   8.12093953023488169 |
| nutriments.sugars_value                                            | String                                |         325 |   8.12093953023488169 |
| pnns_groups_1                                                      | String                                |         325 |   8.12093953023488169 |
| pnns_groups_1_tags                                                 | Array                                 |         325 |   8.12093953023488169 |
| nutriments.salt_unit                                               | String                                |         321 |   8.02098950524737653 |
| nutriments.salt_value                                              | String                                |         321 |   8.02098950524737653 |
| nutriments.saturated-fat                                           | Number (250),String (71)              |         321 |   8.02098950524737653 |
| nutriments.saturated-fat_100g                                      | Number (247),String (74)              |         321 |   8.02098950524737653 |
| nutriments.saturated-fat_serving                                   | Number (162),String (159)             |         321 |   8.02098950524737653 |
| nutriments.saturated-fat_unit                                      | String                                |         321 |   8.02098950524737653 |
| nutriments.saturated-fat_value                                     | String                                |         321 |   8.02098950524737653 |
| product_name_en                                                    | String                                |         294 |   7.34632683658170915 |
| images.nutrition_fr                                                | Object                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.angle                                          | null (218),Number (70),String (2)     |         290 |   7.24637681159420310 |
| images.nutrition_fr.geometry                                       | String                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.imgid                                          | String (265),Number (25)              |         290 |   7.24637681159420310 |
| images.nutrition_fr.normalize                                      | null (276),String (14)                |         290 |   7.24637681159420310 |
| images.nutrition_fr.rev                                            | String (250),Number (40)              |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes                                          | Object                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.100                                      | Object                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.100.h                                    | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.100.w                                    | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.200                                      | Object                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.200.h                                    | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.200.w                                    | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.400                                      | Object                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.400.h                                    | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.400.w                                    | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.full                                     | Object                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.full.h                                   | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.sizes.full.w                                   | Number                                |         290 |   7.24637681159420310 |
| images.nutrition_fr.white_magic                                    | null (276),String (14)                |         290 |   7.24637681159420310 |
| images.nutrition_fr.x1                                             | null (218),Number (43),String (29)    |         290 |   7.24637681159420310 |
| images.nutrition_fr.x2                                             | null (218),Number (43),String (29)    |         290 |   7.24637681159420310 |
| images.nutrition_fr.y1                                             | null (218),Number (43),String (29)    |         290 |   7.24637681159420310 |
| images.nutrition_fr.y2                                             | null (218),Number (43),String (29)    |         290 |   7.24637681159420310 |
| images.4                                                           | Object                                |         283 |   7.07146426786606686 |
| images.4.sizes                                                     | Object                                |         283 |   7.07146426786606686 |
| images.4.sizes.100                                                 | Object                                |         283 |   7.07146426786606686 |
| images.4.sizes.100.h                                               | Number                                |         283 |   7.07146426786606686 |
| images.4.sizes.100.w                                               | Number                                |         283 |   7.07146426786606686 |
| images.4.sizes.400                                                 | Object                                |         283 |   7.07146426786606686 |
| images.4.sizes.400.h                                               | Number                                |         283 |   7.07146426786606686 |
| images.4.sizes.400.w                                               | Number                                |         283 |   7.07146426786606686 |
| images.4.sizes.full                                                | Object                                |         283 |   7.07146426786606686 |
| images.4.sizes.full.h                                              | Number                                |         283 |   7.07146426786606686 |
